"Term","Category Code","Category Name","Example Tweet Text"
"typhoon haiyan aftermath","O04","Impact of the crisis","RT @jcob_510: Typhoon Haiyan aftermath: 10,000 feared dead in Philippines .http://t.co/4oqnWCoy6T"
"'extreme' flames","T01","Caution, advice, warnings issued or lifted","Colorado wildfires: high winds threaten to fan 'extreme' flames http://t.co/cBlIWN38"
"'monster' colorado fire","T01","Caution, advice, warnings issued or lifted","Holy Smokes! RT @NBCNews: UPDATE: 'Monster' Colorado fire doubles in size; 'further trouble' from weather expected http://t.co/tJT6RaPK"
"{Number} acres burned","T01","Caution, advice, warnings issued or lifted","RT @dailycamera: #FlagstaffFire: 228 acres burned, fire moving east in both north, south directions #boulder"
"{Number} bombs","T01","Caution, advice, warnings issued or lifted","RT @tintin1957: #BostonMarathon: 1 day, 2 bombs, 3 dead (1 child) +100 injured. #Syria: 800 days, 1000's of bombs, +90K dead (6000 children…"
"{Number} degrees","T01","Caution, advice, warnings issued or lifted","CURRENT TEMP in Colorado Springs is 95 degrees. #WaldoCanyonFire"
"{Number} emergencies","T01","Caution, advice, warnings issued or lifted","@karlstefanovic  @QPSmedia say PLEASE don't dial 000 for road updates. Comms staff need lines free 4 emergencies. 131940 road info. #bigwet"
"{Number} evac notices","T01","Caution, advice, warnings issued or lifted","New #HighParkFire Evacs: 474 evac notices S &amp; W of Bellvue includes Lory State Park, Redstone Canyon &amp; Buckhorn Rd to Stove Prairie School"
"{Number} explosions","T01","Caution, advice, warnings issued or lifted","RT @BBCBreaking: WATCH LIVE: Two explosions near finish line of Boston Marathon leave unknown number of people injured http://t.co/X3ITf ..."
"{Number} explosions at the finish line","T01","Caution, advice, warnings issued or lifted","People injured in explosions near Boston Marathon finish line: Two explosions at the finish line of the Boston... http://t.co/h3iaFxQv6D"
"{Number} fires","T01","Caution, advice, warnings issued or lifted","Theres like 7 fires in colorado right now...."
"{Number} fires burning","T01","Caution, advice, warnings issued or lifted","RT @thetodayshow: UPDATE: 83 fires burning, 19 uncontained. 81 homes destroyed, 37 damaged across NSW. @deborah_knight #today9"
"{Number} litres of oil dumped into waterway","T01","Caution, advice, warnings issued or lifted","100,000 litres of oil dumped into waterway after Lac-Megantic disaster http://t.co/ISRQKuID6Z via @HuffPostCanada"
"{Number} loud pops","T01","Caution, advice, warnings issued or lifted","I heard 'three loud pops': A witness recounts the moments a shooter at LAX fired shots, causing chaos through ... http://t.co/Dehly5WTLs"
"{Number} miles away","T01","Caution, advice, warnings issued or lifted","#Autofollow LOVELAND, Colo. (AP) â€” A northern Colorado wildfire 60 miles away wrapped Denver in a p... http://t.co/gLpJQKZH #FF @Kaijzer"
"{Number} more islands emerge","T01","Caution, advice, warnings issued or lifted","“@SaimaMohsin: Two more islands emerge in the Arabian sea off the coast of #Balochistan at Bal post 7.7 magnitude #earthquake”"
"{Number} more storms expected","T01","Caution, advice, warnings issued or lifted","RT @ABSCBNNews: 4 more storms expected to hit PH before year end http://t.co/cqlxxqxXOe #YolandaPH"
"{Number} people","T01","Caution, advice, warnings issued or lifted","RT @shetakesmeh1gh: Excuse me, Bea Bautista, 6 people + including baby 1223 maria christina st sampaloc manila 09151492803 #RescuePH @Re ..."
"{Number} percent containment","T01","Caution, advice, warnings issued or lifted","Waldo Canyon fire near Colorado Springs reaches 98 percent containment http://t.co/lUCXLhxY via @denverpost"
"{Number} powerful explosions detonated","T01","Caution, advice, warnings issued or lifted","RT @BostonGlobe: BREAKING NEWS: Two powerful explosions detonated in quick succession right next to the Boston Marathon finsh line this  ..."
"{Number} ricther","T01","Caution, advice, warnings issued or lifted","RT @INFORMADORCHILE: Terremoto 7,4 Ricther Guatemala deja 15 fallecidos,casas en el suelo, 100 desaperecidos, 100MIL personas sin luz FO ..."
"{Number} rivers converged","T01","Caution, advice, warnings issued or lifted","Severe flood submerges parts of Flames' arena: Two rivers converged on the western Canadian city of Calgary ov... http://t.co/jXdLE8Ip9n"
"{Number} schools next to fertilizer plant","T01","Caution, advice, warnings issued or lifted","RT @markos: The wonder of libertarian zoning laws, West, Texas edition http://t.co/B79tF0geJE. TWO schools next to fertilizer plant"
"{Number} suspect","T01","Caution, advice, warnings issued or lifted","RT @VibeMagazine: BREAKING: Gunman shoots several people at LAX, one suspect reportedly in custody http://t.co/RqRSWA7rgc"
"{Number} tanks are still on fire at the amuay refinery","T01","Caution, advice, warnings issued or lifted","Fires burn at Venezuela refinery: Two tanks are still on fire at the Amuay refinery in northern Venezuela after ... http://t.co/sTfkOaCq"
"{Number} times over speed limit","T01","Caution, advice, warnings issued or lifted","#YahooNEWS NYC crash train nearly three times over speed limit http://t.co/4tbIUg9iWw"
"{Number} very dangerous storms","T01","Caution, advice, warnings issued or lifted","RT @Lyndsay_CTV: RT @daynavettese [3:45pm EDT] Two very dangerous storms from Mount Forst to Shelburne Arthur &amp; Orangeville ... #onstorm"
"{Number} villages damaged by #tsunami wave","T01","Caution, advice, warnings issued or lifted","RT @BBCWorld: Houses brought down as 3 villages damaged by #tsunami wave, spokesman for #Solomon Islands PM tells @bbcworldservice http: ..."
"{Number} wildfires","T01","Caution, advice, warnings issued or lifted","Sadness in Colorado as widespread as smoke: Just one of 10 wildfires in Colorado has forced the evacuation of mo... http://t.co/JNKnLi2y"
"{Number}.{Number} -magnitude earthquake hits","T01","Caution, advice, warnings issued or lifted","pray for 'em :') “@thejimjams: At least 82 killed as 7.2-magnitude earthquake hits Philippines http://t.co/5xQMg9mrR8”"
"{Number}.{Number} -magnitude earthquake strikes","T01","Caution, advice, warnings issued or lifted","RT @YahooNews: At least 32 dead after 7.2-magnitude earthquake strikes central Philippines: http://t.co/5FlxmZ1oGY"
"{Number}.{Number} #earthquake","T01","Caution, advice, warnings issued or lifted","RT @KING5Seattle: #BREAKING 7.2 #earthquake in the Philippines -- http://t.co/cy93Pij4FU Nearest city: Balilihan / Depth: 56 km"
"{Number}.{Number} #earthquake hit","T01","Caution, advice, warnings issued or lifted","RT @careintuk: CARE are on the ground assessing the situation after a 7.2 #earthquake hit #Guatemala"
"{Number}.{Number} #earthquake hits","T01","Caution, advice, warnings issued or lifted","VIDEO - At least 107 people killed as 7.2 #earthquake hits the Philippines just days after a major cyclone http://t.co/EALfwr163j"
"{Number}.{Number} #quake hits","T01","Caution, advice, warnings issued or lifted","RT @RT_com: UPDATE: Six killed after 7.1 #quake hits southern #Philippines (PHOTOS) http://t.co/0J6Eg19Gws"
"{Number}.{Number} earthquake","T01","Caution, advice, warnings issued or lifted","7.1 earthquake devastates the Philippines. In other news we now know where all those returned Hernandez jerseys went http://t.co/YpKMLZeEN1"
"{Number}.{Number} earthquake hits","T01","Caution, advice, warnings issued or lifted","At least 93 people dead after 7.2 earthquake hits central Philippines | Fox News http://t.co/cfCxncJKLM via @foxnews #coe215"
"{Number}.{Number} earthquake recorded","T01","Caution, advice, warnings issued or lifted","7.2 earthquake recorded in the Philippines' Bohol province - @usgs http://t.co/AWejtoJDfb"
"{Number}.{Number} earthquake struck","T01","Caution, advice, warnings issued or lifted","7.1 earthquake struck the central Philippines. At least 67 ppl confirmed dead and 164 more injured. Tourists displaced.#news"
"{Number}.{Number} intensity","T01","Caution, advice, warnings issued or lifted","X❤X i JUS HEARD ABOUT THA CEBU &amp; BOHOL EARTHQUAKE 7.2 iNTENSiTY,NEVA THOUGHT THAT WOULD HAPPEN.EVA.#Philippines #Earthquake #ChamTweets X❤X"
"{Number}.{Number} magnitude","T01","Caution, advice, warnings issued or lifted","7.2 magnitude keep safe everyone #PrayForBohol and to the nearest island who also affected of earthquake #PrayForPhilippines"
"{Number}.{Number} magnitude #earthquake","T01","Caution, advice, warnings issued or lifted","#PHOTOS of #Bohol #Philippines after 7.2 magnitude #earthquake show collapsed buildings, damage. via @CNNiReport http://t.co/2c8bhUFyvS"
"{Number}.{Number} magnitude earthquake","T01","Caution, advice, warnings issued or lifted","#Indian #SuryaRay 85 killed as 7.2 magnitude earthquake rattles Philippines: The quake was... http://t.co/z4riMT2qh7 #India @SuryaRay"
"{Number}.{Number} magnitude earthquake rattles","T01","Caution, advice, warnings issued or lifted","73 killed as 7.2 magnitude earthquake rattles Philippines - Indian Express http://t.co/NJ4B9gJG0y"
"{Number}.{Number} magnitude quake","T01","Caution, advice, warnings issued or lifted","Death toll from a strong earthquake in the Philippines has risen to 85 - 7.2 magnitude quake hit the tourist island of Bohoi."
"{Number}.{Number} quake","T01","Caution, advice, warnings issued or lifted","No tsunami threat to Hawaii after 7.2 quake near Philippines: A strong earthquake shook an area off the coast of... http://t.co/reOKxxk1MS"
"{Number}.{Number} quake hits","T01","Caution, advice, warnings issued or lifted","7.2 Quake Hits Central Philippines, Killing 4: 7.2-magnitude quake hits central Philippine island, killing at ... http://t.co/kt6daIcIei"
"{Number}.{Number} quake strikes","T01","Caution, advice, warnings issued or lifted","7.4 quake strikes Philippines http://t.co/CYFzDjMH8X"
"{Number}.{Number} quake that struck","T01","Caution, advice, warnings issued or lifted","Photo gallery: See the damage from the 7.2 quake that struck the central Philippines. http://t.co/rpOTGWbC9f http://t.co/HxHVxPPzvy"
"{Number}.{Number}-earthquake","T01","Caution, advice, warnings issued or lifted","#OmieStore 7.2-earthquake hits Philippines http://t.co/E6jeOMzUnP #LoyaBreakfast"
"{Number}.{Number}-earthquake hits","T01","Caution, advice, warnings issued or lifted","7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday,... http://t.co/5a2SG6gu3S"
"{Number}.{Number}-mag. quake","T01","Caution, advice, warnings issued or lifted","RT @ABC7: PHILIPPINES #EARTHQUAKE: Radio reports say 7.2-mag. quake has killed at least 4 people in central Philippines http://t.co/QTOTifx…"
"{Number}.{Number}-magnitude earthquake","T01","Caution, advice, warnings issued or lifted","RT @YahooNews: At least 32 dead after 7.2-magnitude earthquake strikes central Philippines: http://t.co/5FlxmZ1oGY"
"{Number}.{Number}-magnitude earthquake hits","T01","Caution, advice, warnings issued or lifted","RT @TelegraphNews: 7.1-magnitude earthquake hits Philippines http://t.co/CIakWptvxC"
"{Number}.{Number}-magnitude quake","T01","Caution, advice, warnings issued or lifted","Death toll rises to at least 20 after 7.2-magnitude quake collapses buildings, cracks roads in Philippines: http://t.co/9TrHnqNpq9"
"{Number}.{Number}-magnitude quake hits","T01","Caution, advice, warnings issued or lifted","7.2 Quake Hits Central Philippines, Killing 4: 7.2-magnitude quake hits central Philippine island, killing at ... http://t.co/kt6daIcIei"
"{Number}.{Number}-magnitude quake strikes","T01","Caution, advice, warnings issued or lifted","RT @STForeignDesk: 7.2-magnitude quake strikes Philippines, 4 killed http://t.co/03b2UC47fI"
"{Number}.{Number}m quake","T01","Caution, advice, warnings issued or lifted","RT @japantimes: 7.2M quake jolts Philippines http://t.co/U2MJ09U5V6"
"{Number}.{Number}magnitude earthquake","T01","Caution, advice, warnings issued or lifted","RT @annecurtissmith: praying for their families :(“@YahooNews: At least 32 dead after 7.2magnitude earthquake strikes central Philippines h…"
"{Number}% above normal","T01","Caution, advice, warnings issued or lifted","RT @BloombergTVInd: IMD says monsoon rainfall is 34% above normal since June 1. Heavy rain forecast in #Uttarakhand in next 72 hours."
"{Number}% contained","T01","Caution, advice, warnings issued or lifted","The High Park fire west of Fort Collins, #CO has consumed 36,930 acres so far, is 0% contained and continues to grow. #NWS #cowx #cofire"
"{Number}% containment","T01","Caution, advice, warnings issued or lifted","RT @All_Hazards: #SpringerFire 100% Containment 6PM 6/23 (Excellent News!) Cause: Human, Under Investigation. #COfire #CO"
"{Number}+ quake","T01","Caution, advice, warnings issued or lifted","RT @seacorro: Reports of at least 4 dead in 7+ quake in the #Philippines (near Cebu). Details sketchy. No tsunami."
"{Number}m ago","T01","Caution, advice, warnings issued or lifted","RT @NewEarthquake: 5.0 earthquake, 3km E of Canmaya Diot, Philippines. Oct 15 09:07 at epicenter (30m ago, depth 21km). http://t.co/tMA4ife…"
"{Number}nd suspect","T01","Caution, advice, warnings issued or lifted","RT @GlobalGrindNews: UPDATE: Shooting has ended, 2nd suspect taken into custody. More details to come... http://t.co/vRItUdL8uY #LAXshooting"
"@bbcbreaking","T01","Caution, advice, warnings issued or lifted","@BBCBreaking embarrassing coverage of Philippines Earthquake which  killed nearly 100 people Yet you cover less stories with more focus!"
"@breakingnews","T01","Caution, advice, warnings issued or lifted","RT @BreakingNews: 4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency - @Reuters"
"@breakingnews:","T01","Caution, advice, warnings issued or lifted","RT @BreakingNews: 7.2 earthquake recorded in the Philippines' Bohol province - @usgs http://t.co/sVOzYsZR5X"
"@breakingphxnews","T01","Caution, advice, warnings issued or lifted","RT @BreakingPHXNews: 7.2 quake hits central Philippines: A 7.2-magnitude earthquake struck in the central Philippines on Tuesday... http://…"
"@cbcalerts","T01","Caution, advice, warnings issued or lifted","RT @CBCAlerts: Magnitude 7.2 earthquake strikes Bohol province of #Philippines."
"@coemergency","T01","Caution, advice, warnings issued or lifted","RT @EPCSheriff: HASHTAG CHANGE - from @COEmergency - #WaldoCanyonFire is now #WaldoFire"
"@colorado #fires","T01","Caution, advice, warnings issued or lifted","@Thomastwo thanks for sharing your #haiku #poetry about @Colorado #fires http://t.co/YNnmd6xH cc @FredMcMurray @RannPatterson @LSaldanamD"
"@newearthquake","T01","Caution, advice, warnings issued or lifted","RT @NewEarthquake: 5.3 earthquake, 1km SE of Catigbian, Philippines. Oct 15 08:33 at epicenter (17m ago, depth 69km). http://t.co/jJTztQZHCn"
"#{Number}.{Number}","T01","Caution, advice, warnings issued or lifted","We're staying in our apartment because we both got scared. #earthquake #7.2 #cebu #igers #igcebu… http://t.co/V8TjaaWgbl"
"#bigelkmeadowsfire","T01","Caution, advice, warnings issued or lifted","News of #bigelkmeadowsfire sent neighborhood/ local fire depts into panic - fire is unconfirmed per depts. just spoke to them-phone #cofire"
"#boulderfire","T01","Caution, advice, warnings issued or lifted","RT @fema: (June 26) For updates on #flagstafffire &amp; #boulderfire, follow @boulderOEM @boulderpolice &amp; @bouldercounty http://t.co ..."
"#breaking","T01","Caution, advice, warnings issued or lifted","#Breaking: Photo of damage from Waldo Canyon fire in Colorado Springs - @JBoxleyNBC http://t.co/9x5yryz9"
"#breaking news","T01","Caution, advice, warnings issued or lifted","RT @AC360: #Breaking news tonight: 7,000 more people should evacuate immediately in #Colorado. Stay with #AC360 tonight."
"#breakingnews","T01","Caution, advice, warnings issued or lifted","RT @sunstaronline: Aftershocks still being felt here in #Cebu City as of this posting. #breakingnews #Visayasquake"
"#bushfire","T01","Caution, advice, warnings issued or lifted","@Sandra_Sully: RT @ASNSW: Please postpone non-essential travel on roads near bushfires #bushfire #Sydney"
"#cebuearthquake","T01","Caution, advice, warnings issued or lifted","It's like I am riding a boat with a big wives &gt;_&lt; so dizzy! I can't take it any longer :( Lord i trust in you!  #Cebu #cebuearthquake"
"#cofire","T01","Caution, advice, warnings issued or lifted","News of #bigelkmeadowsfire sent neighborhood/ local fire depts into panic - fire is unconfirmed per depts. just spoke to them-phone #cofire"
"#cofires","T01","Caution, advice, warnings issued or lifted","Financial contributions are the most effective way to help w #WaldoCanyonFire, #highparkfire &amp; other #COfires http://t.co/Xg05IL8X"
"#coloradofires","T01","Caution, advice, warnings issued or lifted","Obama focuses on Colorado wildfires - http://t.co/XwCjVapH http://t.co/fDuocgiu #COLORADOWILDFIRES #COLORADOWILDFIRE #COLORADOFIRES"
"#coloradowildfire","T01","Caution, advice, warnings issued or lifted","Obama focuses on Colorado wildfires - http://t.co/XwCjVapH http://t.co/fDuocgiu #COLORADOWILDFIRES #COLORADOWILDFIRE #COLORADOFIRES"
"#coloradowildfires","T01","Caution, advice, warnings issued or lifted","Obama focuses on Colorado wildfires - http://t.co/XwCjVapH http://t.co/fDuocgiu #COLORADOWILDFIRES #COLORADOWILDFIRE #COLORADOFIRES"
"#earhquake","T01","Caution, advice, warnings issued or lifted","@4:22 AM, I could still feel aftershocks. #cantsleep #danao #cebu #earhquake"
"#earthquake","T01","Caution, advice, warnings issued or lifted","Guys let's pray for our sistres and brothers at Visayas who experienced Magnitude 7.1 earthquake this morning. #PrayForVisayas #earthquakePH"
"#earthquake {Number}.{Number}","T01","Caution, advice, warnings issued or lifted","#Earthquake 7.2 tuesday 15 oct destroyed a lot of historical churches at #Bohol #Philipines [28 photos]  http://t.co/Wl4POuqz8d RT"
"#earthquake #{Number}.{Number}","T01","Caution, advice, warnings issued or lifted","We're staying in our apartment because we both got scared. #earthquake #7.2 #cebu #igers #igcebu… http://t.co/V8TjaaWgbl"
"#earthquake hit","T01","Caution, advice, warnings issued or lifted","#Breaking: no surgery staff present at #Earthquake hit #Awaran district hospital, watch details now on CNBC"
"#earthquake m {Number}.{Number}","T01","Caution, advice, warnings issued or lifted","#earthquake M 4.8, Santa Cruz Islands: February 07, 2013 13:46:36 GMT http://t.co/WYRcrRqW"
"#earthquake m{Number}.{Number}","T01","Caution, advice, warnings issued or lifted","#earthquake M7.2: Bohol, Philippines http://t.co/mcLjuPxXBX"
"#earthquake magnitude","T01","Caution, advice, warnings issued or lifted","#Earthquake Magnitude  ML 1.9Region  DODECANESE ISLANDS, GREECEDate time  2012-09-16   01:07:40.8 UTCLocation  3... http://t.co/aMrfAeDa"
"#earthquake magnitude {Number}.{Number}","T01","Caution, advice, warnings issued or lifted","MT @FCOtravel #Philippines travel advice #UK citizens updated #Earthquake magnitude 7.2 on Island of Bohol. http://t.co/tno1yhgug7 #hmrd"
"#earthquake magnitude m {Number}.{Number}","T01","Caution, advice, warnings issued or lifted","#Earthquake Magnitude  M  5.1Region  SOUTH OF JAVA, INDONESIADate time  2012-09-15   17:35:41.0 UTCLocation  11.... http://t.co/HcfD7i2Y"
"#earthquake magnitude mb {Number}.{Number}","T01","Caution, advice, warnings issued or lifted","#Earthquake Magnitude  mb 4.8Region  NIAS REGION, INDONESIADate time  2012-09-16   16:17:23.0 UTCLocation  0.56 ... http://t.co/AOSlUrft"
"#earthquake mb {Number}.{Number}","T01","Caution, advice, warnings issued or lifted","#earthquake mb 5.1  TAIWAN REGION: Magnitude  mb 5.1Region  TAIWAN REGIONDate time  2012-09-04   20:00:17.0 UTCL... http://t.co/VwzB34fM"
"#earthquake measuring {Number}.{Number}","T01","Caution, advice, warnings issued or lifted","#earthquake measuring 7.2 struck islands popular with tourists in #Philippines on Tuesday http://t.co/U1quLY47bp"
"#earthquake measuring {Number}.{Number} hits","T01","Caution, advice, warnings issued or lifted","RT @abcnews: #Breaking: #Earthquake measuring 7.4 hits southern Philippines, says USGS"
"#earthquake measuring {Number}.{Number} struck","T01","Caution, advice, warnings issued or lifted","#earthquake measuring 7.2 struck islands popular with tourists in #Philippines on Tuesday http://t.co/U1quLY47bp"
"#earthquakeph","T01","Caution, advice, warnings issued or lifted","HELP PRAY FOR BOHOL... SO HEARTBREAKING SEEING THE HISTORIC CHURCHES COLLAPSED! #earthquakePH #visayasQuake #Bohol http://t.co/bPoAdbUTUo"
"#earthquakeph #reliefph","T01","Caution, advice, warnings issued or lifted","RT @UPRCY: #EarthquakePH #ReliefPH #AbagSugBohol Soliman says quake-affected Bohol residents who have not been given relief... http://t.co/…"
"#earthquakeph are ongoing","T01","Caution, advice, warnings issued or lifted","RT @govph: #ReliefPH and rehab efforts for areas affected by #earthquakePH are ongoing. Click on this link for updates: http://t.co/A6N7942…"
"#earthquakes","T01","Caution, advice, warnings issued or lifted","Just found out about what happened in #bohol.. saw pictures of churches ruined. :(( #keepsafe #earthquakes"
"#eartquake","T01","Caution, advice, warnings issued or lifted","@Beyond_Health try to show mama noem photos of damages here on Instagram. Search on #cebu and #eartquake #bohol"
"#estesparkfire","T01","Caution, advice, warnings issued or lifted","RT @9NEWS: #HighParkFire units were diverted to help work #EstesParkFire today"
"#fire","T01","Caution, advice, warnings issued or lifted","Authorities are reporting another fire north of #Durango near hwy 550, about 50 ft from structures. #CO #COfire #fire"
"#fire #extinguish","T01","Caution, advice, warnings issued or lifted","May #God give the #NSW #firefighters strength to carry their duty for the day &amp; night. God #bless their work til the #fire #extinguish. Amen"
"#fire heads up","T01","Caution, advice, warnings issued or lifted","RT @SaddiqueShaban: Once again, congratulations to @KenyaRedCross for the #JKIA #Fire heads up. Passengers and public have been informed. #…"
"#fire scientists","T01","Caution, advice, warnings issued or lifted","What #fire scientists say: Australia's bushfire weather is getting worse, fire danger index rising in SE Australia http://t.co/Diyw5cHimA"
"#fires","T01","Caution, advice, warnings issued or lifted","RT @jackienw: @MonicaCrowley help spread the word on how to help with the #Colorado #fires. http://t.co/oM1TKr6n."
"#fireseason","T01","Caution, advice, warnings issued or lifted","These fires need to stop. Colorado needs to get some rain! #savethemountains #fireseason"
"#flagstaff fire","T01","Caution, advice, warnings issued or lifted","http://t.co/WKQ0Ymrq Woah!! Crazy video of the #Flagstaff fire burning near #Boulder #Colorado !!! Some rain must fall and save our state!"
"#flagstafffire","T01","Caution, advice, warnings issued or lifted","#FlagstaffFire now at 300 acres &amp; growing.  @boulderpolice: now is the time to prepare' to evacuate if you've gotten pre-evac notice #9news"
"#flagstafffire fire","T01","Caution, advice, warnings issued or lifted","RT @boulderpolice: #FlagstaffFire fire is not threatening homes at this time. Sprinklers will help create defensible space. Thank you."
"#flood #disaster","T01","Caution, advice, warnings issued or lifted","#flood #disaster 118 killed, 812 injured in Pakistan's flash floods-Eastday: ISLAMABAD, Aug. 20 -- Flash flood... http://t.co/MiH9beMYhV"
"#haze fires","T01","Caution, advice, warnings issued or lifted","RT @Ken_Teh: #Indonesia blames 8 companies, including #Singapore's Sinar Mas &amp; AsiaPac Resources Int'l, for #haze fires, not naming others …"
"#highparkfire","T01","Caution, advice, warnings issued or lifted","Pre-evacuation notice for part Glacier View CR74E, S &amp; E of McNay Hill. Hewlett Gulch Road, Deer Meadow Way, Gordon Creek Lane #HighParkFire"
"#highparkfire #wildfire","T01","Caution, advice, warnings issued or lifted","RT @HumaneSociety If you are evacuating please don't wait - take your pets when you evacuate! #highparkfire #wildfire #COwx"
"#highparkfire burn area","T01","Caution, advice, warnings issued or lifted","RT @dhorning11: RT @LarimerCounty: #HighParkFire burn area map as of Monday night 10 p.m. http://t.co/1guBTcXX"
"#highparkfire evacuation orders","T01","Caution, advice, warnings issued or lifted","RT @LarimerSheriff: #HighParkFire evacuation orders issued for Pingree Park area.  25 notifications sent http://t.co/oSmxBfqJ"
"#highparkfire explodes to {Number} acres","T01","Caution, advice, warnings issued or lifted","RT @ExaminerWeather: #HighParkFire explodes to 36,930 acres, 400 personnel on site, more evacuations ordered. Story &amp; photos: http:/ ..."
"#highparkfire live briefing","T01","Caution, advice, warnings issued or lifted","#HighParkFire live briefing: Cmdr Hahnenberg: Trying to be careful not to use fire retardant near water supplies."
"#highparkfire update","T01","Caution, advice, warnings issued or lifted","RT @RichKurtzman: #HighParkFire update: Fire officials now say they may not be able to put the fire out until NEXT summer!"
"#iaf rescue chopper crashes","T01","Caution, advice, warnings issued or lifted","“@ananya116: #IAF Rescue chopper crashes in Gaurikund; eight of all crew dead, confirms the Indian Air Force. #News #Uttarakhand”#RIP"
"#jkiafire fire","T01","Caution, advice, warnings issued or lifted","RT @africareview: RT @KenyaRedCross: #JKIAFire Fire brigade still trying to contain the fire at Kenya's main airport. http://t.co/SihsyVv8eq"
"#jkiafire fire contained","T01","Caution, advice, warnings issued or lifted","RT @KenyaRedCross: #JKIAFire Fire contained. No casualties reported. cc @NDOCKenya @InteriorKE http://t.co/WPGaiNIUIy"
"#lastchancefire","T01","Caution, advice, warnings issued or lifted","RT @9NEWS: UPDATE: #LastChanceFire has burned an estimated at 38,400 acres, has been fully contained on the northwest quadrant from fire PIO"
"#littlesandf","T01","Caution, advice, warnings issued or lifted","RT @kraakerjack: Burning in CO: #HighParkFire #WoodlandHeightsFire #WaldoCanyonFire #WeberFire #TreasureFire #StateLineFire #LittleSandF ..."
"#littlesandfire","T01","Caution, advice, warnings issued or lifted","Too many CO Fires: #WaldoCanyonFire #HighParkFire #StatelineFire #TreasureFire #SpencerFire #WoodlandHeightsFire #LittleSandFire #WeberFire"
"#magnitude{Number}","T01","Caution, advice, warnings issued or lifted","WE WILL RISE! #magnitude7 #cebu #bohol @ central visayas, cebu city http://t.co/WH9xndxhtx"
"#magnitude{Number}.{Number} #earthquake","T01","Caution, advice, warnings issued or lifted","RT @DrBrianKiczek: Historic Churches devastated today by #Magnitude7.2 #Earthquake. Pls #PrayForBohol #PrayForVisayas @DrBrianKiczek http:/…"
"#nswfires","T01","Caution, advice, warnings issued or lifted","RT @salvos: We have launched a Bushfire Relief Appeal to help those affected by #nswfires. If you'd like to donate, please visit http://t.c…"
"#quake","T01","Caution, advice, warnings issued or lifted","RT @W7VOA: RT @tokyodrastic: Front of Loboc Church after collapse. http://t.co/3SnC8zDLq7 #quake #Philippines"
"#quake #breaking","T01","Caution, advice, warnings issued or lifted","RT @AlertNet: 30 dead, 30 percent of homes destroyed in Pakistan quake http://t.co/o3skcdBAz9 #quake #breaking #pakistan"
"#quake tracker","T01","Caution, advice, warnings issued or lifted","RT @abc7newsBayArea: #BREAKING: A 7.8 #earthquake struck 43 miles northeast of Awaran, Pakistan. #Quake Tracker: http://t.co/pGTXPs3lKC"
"#quake_watch","T01","Caution, advice, warnings issued or lifted","I was rocked by a M4.7 earthquake 7km W of Nueva Fuerza, Philippines!!! #earthquake #Quake_Watch_by_Ninja_Software"
"#reliefph contact","T01","Caution, advice, warnings issued or lifted","AUG 11 shows: Tix for 3PM, P200 Tix for 8PM, P500, all profits donated to #ReliefPH Contact 09175002462 for tickets. http://t.co/VfMNIt0G"
"#rescueph","T01","Caution, advice, warnings issued or lifted","RT @juanxi: Please spread the word. Mga kababayan sa Visayas, please use #rescuePH for information about people needing rescue. We will com…"
"#rescueph can be updated","T01","Caution, advice, warnings issued or lifted","Know someone who asked for rescue and was saved? Tweet their details to #safenow so that the list with calls for #rescuePH can be updated!"
"#rescueph free live tv anywhere","T01","Caution, advice, warnings issued or lifted","#rescueph FREE Live TV anywhere! http://t.co/rqD1XiAN http://t.co/YaXrMyJ7 fufu"
"#rescueph team","T01","Caution, advice, warnings issued or lifted","RT @ogiediaz: Nakakatuwa ang mga #rescuePH team.  Ang galing sumagip ng buhay! #realheroes. #TVPatrol25"
"#scary","T01","Caution, advice, warnings issued or lifted","Boulder Fire - http://t.co/AqTMhtT0 look for the plane entering the smoke #scary"
"#shocking #earthquake","T01","Caution, advice, warnings issued or lifted","7.7 magnitude quake in #Pakistan just created a new island! #shocking #earthquake  SOURCE: http://t.co/l5WaAEECIg"
"#spencerfire","T01","Caution, advice, warnings issued or lifted","Too many CO Fires: #WaldoCanyonFire #HighParkFire #StatelineFire #TreasureFire #SpencerFire #WoodlandHeightsFire #LittleSandFire #WeberFire"
"#springerfire","T01","Caution, advice, warnings issued or lifted","RT @Epykology: I thought this shirt was fitting for everything happening lately #springerfire #highparkfire http://t.co/WnSANhMQ"
"#statelinefire","T01","Caution, advice, warnings issued or lifted","Too many CO Fires: #WaldoCanyonFire #HighParkFire #StatelineFire #TreasureFire #SpencerFire #WoodlandHeightsFire #LittleSandFire #WeberFire"
"#tourist attractions reopen","T01","Caution, advice, warnings issued or lifted","Colorado is open for business! #Colorado #tourist attractions reopen - http://t.co/aGISecsn http://t.co/y0jru01A"
"#treasurefire","T01","Caution, advice, warnings issued or lifted","Too many CO Fires: #WaldoCanyonFire #HighParkFire #StatelineFire #TreasureFire #SpencerFire #WoodlandHeightsFire #LittleSandFire #WeberFire"
"#tsunami","T01","Caution, advice, warnings issued or lifted","A 7.4 magnitude #earthquake has hit the southern #Philippines. There's no threat of a #tsunami."
